group_variable,group_label,n,percentage_of_cohort,positives,prevalence_pct,negatives,predicted_positive,predicted_positive_rate_pct
sex_group,Female,3214,51.49,688,21.41,2526,674,20.97
sex_group,Male,3028,48.51,977,32.27,2051,957,31.61
age_group,<18,1188,19.03,5,0.42,1183,2,0.17
age_group,18-44,1142,18.3,103,9.02,1039,68,5.95
age_group,45-64,1747,27.99,617,35.32,1130,600,34.34
age_group,65+,2165,34.68,940,43.42,1225,961,44.39
race_group,Mexican American,616,9.87,153,24.84,463,145,23.54
race_group,Non-Hispanic Asian,470,7.53,143,30.43,327,133,28.3
race_group,Non-Hispanic Black,1579,25.3,444,28.12,1135,458,29.01
race_group,Non-Hispanic White,2548,40.82,634,24.88,1914,626,24.57
race_group,Other Hispanic,586,9.39,184,31.4,402,163,27.82
race_group,Other/Multi-Racial,443,7.1,107,24.15,336,106,23.93
