feature,dtype,transformer_role,missing_fraction
SDDSRVYR,float64,numeric,0.0
RIDSTATR,float64,numeric,0.0
RIAGENDR,float64,numeric,0.0
RIDAGEYR,float64,numeric,0.0
RIDRETH1,float64,numeric,0.0
RIDRETH3,float64,numeric,0.0
RIDEXMON,float64,numeric,0.07623375385299819
DMDBORN4,float64,numeric,0.0
DMDYRUSZ,float64,numeric,0.8067939877339604
DMDEDUC2,float64,numeric,0.20893577806730432
DMDMARTZ,float64,numeric,0.20893577806730432
SIALANG,float64,numeric,0.0
SIAPROXY,float64,numeric,0.0
SIAINTRP,float64,numeric,0.0
FIALANG,float64,numeric,0.06641456671645111
FIAPROXY,float64,numeric,0.06641456671645111
FIAINTRP,float64,numeric,0.06641456671645111
MIALANG,float64,numeric,0.20003813276557883
MIAPROXY,float64,numeric,0.20003813276557883
MIAINTRP,float64,numeric,0.20003813276557883
AIALANGA,float64,numeric,0.46649083224760873
INDFMPIR,float64,numeric,0.13816772061393753
BMDSTATS,float64,numeric,0.07623375385299819
BMXWT,float64,numeric,0.10028917347230608
BMXHT,float64,numeric,0.11420763290857669
BMXBMI,float64,numeric,0.11617782579681592
BMDBMIC,float64,numeric,0.8263688073977565
BMXLEG,float64,numeric,0.21977183895262004
BMXARML,float64,numeric,0.13432266675140614
BMXARMC,float64,numeric,0.1348946582350885
BMXWAIST,float64,numeric,0.16235024945184148
BMXHIP,float64,numeric,0.25726905843846326
BPAOARM,object,categorical,0.1507515332549493
BPAOCSZ,float64,numeric,0.2453843464997299
BPXOSY1,float64,numeric,0.24694143442753186
BPXODI1,float64,numeric,0.24694143442753186
BPXOSY2,float64,numeric,0.24849852235533382
BPXODI2,float64,numeric,0.24849852235533382
BPXOSY3,float64,numeric,0.25240713082716326
BPXODI3,float64,numeric,0.25240713082716326
BPXOPLS1,float64,numeric,0.31348311036257903
BPXOPLS2,float64,numeric,0.3147542025485398
BPXOPLS3,float64,numeric,0.31802726492738886
LBXGLU,float64,numeric,0.6272522164669992
LBDGLUSI,float64,numeric,0.6272522164669992
LBXGH,float64,numeric,0.24363659474403382
LBXTC,float64,numeric,0.21471924751342591
LBDTCSI,float64,numeric,0.21471924751342591
LBXTR,float64,numeric,0.6344338873176777
LBDTRSI,float64,numeric,0.6344338873176777
LBDLDL,float64,numeric,0.6384060503988052
LBDLDLSI,float64,numeric,0.6384060503988052
LBDLDLM,float64,numeric,0.6384060503988052
LBDLDMSI,float64,numeric,0.6384060503988052
LBDLDLN,float64,numeric,0.6355778702850424
LBDLDNSI,float64,numeric,0.6355778702850424
LBDHDD,float64,numeric,0.21471924751342591
LBDHDDSI,float64,numeric,0.21471924751342591
LBXWBCSI,float64,numeric,0.1538021545012552
LBXLYPCT,float64,numeric,0.1545648098128317
LBXMOPCT,float64,numeric,0.1545648098128317
LBXNEPCT,float64,numeric,0.1545648098128317
LBXEOPCT,float64,numeric,0.1545648098128317
LBXBAPCT,float64,numeric,0.1545648098128317
LBDLYMNO,float64,numeric,0.1545648098128317
LBDMONO,float64,numeric,0.1545648098128317
LBDNENO,float64,numeric,0.1545648098128317
LBDEONO,float64,numeric,0.1545648098128317
LBDBANO,float64,numeric,0.1545648098128317
LBXRBCSI,float64,numeric,0.1538021545012552
LBXHGB,float64,numeric,0.1538021545012552
LBXHCT,float64,numeric,0.1538021545012552
LBXMCVSI,float64,numeric,0.1538021545012552
LBXMC,float64,numeric,0.1538021545012552
LBXMCHSI,float64,numeric,0.1538021545012552
LBXRDW,float64,numeric,0.1538021545012552
LBXPLTSI,float64,numeric,0.1538021545012552
LBXMPSI,float64,numeric,0.1538021545012552
LBXNRBC,float64,numeric,0.15421525946169246
LBXSATSI,float64,numeric,0.2658489306936986
LBDSATLC,float64,numeric,0.2658489306936986
LBXSAL,float64,numeric,0.2655947122565064
LBDSALSI,float64,numeric,0.2655947122565064
LBXSAPSI,float64,numeric,0.2657218214751025
LBXSASSI,float64,numeric,0.2692491022911437
LBXSC3SI,float64,numeric,0.2659124853029966
LBXSBU,float64,numeric,0.2659124853029966
LBDSBUSI,float64,numeric,0.2659124853029966
LBXSCLSI,float64,numeric,0.2657218214751025
LBXSCK,float64,numeric,0.2661984810448378
LBXSCR,float64,numeric,0.2657853760844005
LBDSCRSI,float64,numeric,0.2657853760844005
LBXSGB,float64,numeric,0.2659124853029966
LBDSGBSI,float64,numeric,0.2659124853029966
LBXSGL,float64,numeric,0.2659124853029966
LBDSGLSI,float64,numeric,0.2659124853029966
LBXSGTSI,float64,numeric,0.2658489306936986
LBDSGTLC,float64,numeric,0.2658489306936986
LBXSIR,float64,numeric,0.2658489306936986
LBDSIRSI,float64,numeric,0.2658489306936986
