processed_feature,mean_abs_shap,global_SHAP_rank,mean_absolute_local_SHAP,multi_instance_local_rank,absolute_rank_difference
numeric__LBXSGL,0.8158795793128563,1,0.4691306828634055,2,1
numeric__RIDAGEYR,0.7772739790612941,2,0.9331390996244175,1,1
numeric__LBXGLU,0.27662535496474694,3,0.1399892676962659,8,5
numeric__WTMECPRP,0.25385762626866853,4,0.16627017009082862,7,3
numeric__BMXWT,0.24314550291312045,5,0.26511074127399537,3,2
numeric__LBXSTR,0.2059092346363182,6,0.16948110290747237,6,0
numeric__LBXSCH,0.19431264520873695,7,0.04537422442086299,17,10
numeric__BMXWAIST,0.18339841553404027,8,0.22377516083603557,4,4
numeric__WTINTPRP,0.18038218170742673,9,0.12505239713432742,9,0
numeric__LBXSAPSI,0.1712929971010792,10,0.1757429542859499,5,5
numeric__URXCRS,0.15944378861632455,11,0.05417684689183607,12,1
numeric__LBXSIR,0.11221213693962331,12,0.07331138149993024,11,1
numeric__LBXTR,0.10230860646329624,13,0.09514418782463102,10,3
numeric__LBXSGTSI,0.08632617955207646,14,0.04531475482523961,18,4
numeric__LBXTC,0.08520143484671706,15,0.02198015681188278,26,11
numeric__BMXHIP,0.06532181334278667,16,0.050272404220452815,14,2
numeric__BPXODI3,0.060279010184948245,17,0.015801039010428817,33,16
numeric__BPXOSY1,0.05889214162592414,18,0.045971278133506696,16,2
numeric__BPXODI2,0.056777317017171675,19,0.018318844950788844,28,9
numeric__BPXODI1,0.0530714235998306,20,0.018232832623447964,29,9
